,invoice_num,total,invoice_name,invoice_date,customer_id,country
0,489434,505.30000000000007,489434,12/01/09 07:45,13085.0,United Kingdom
8,489435,145.79999999999998,489435,12/01/09 07:46,13085.0,United Kingdom
12,489436,630.33,489436,12/01/09 09:06,13078.0,United Kingdom
31,489437,310.75,489437,12/01/09 09:08,15362.0,United Kingdom
54,489438,2286.24,489438,12/01/09 09:24,18102.0,United Kingdom
71,489439,426.29999999999995,489439,12/01/09 09:28,12682.0,France
90,489440,50.4,489440,12/01/09 09:43,18087.0,United Kingdom
92,489441,344.34000000000003,489441,12/01/09 09:44,18087.0,United Kingdom
96,489442,382.37000000000006,489442,12/01/09 09:46,13635.0,United Kingdom
119,489443,285.06,489443,12/01/09 09:50,14110.0,United Kingdom
126,489444,141.0,489444,12/01/09 09:55,12636.0,USA
127,489445,308.44,489445,12/01/09 09:57,17519.0,United Kingdom
146,489446,996.1,489446,12/01/09 10:06,13758.0,United Kingdom
173,489447,130.0,489447,12/01/09 10:10,12362.0,Belgium
174,489448,570.24,489448,12/01/09 10:18,15413.0,United Kingdom
178,489449,-196.10000000000002,C489449,12/01/09 10:33,16321.0,Australia
187,489450,196.10000000000002,489450,12/01/09 10:36,16321.0,Australia
196,489459,-148.3,C489459,12/01/09 10:44,17592.0,United Kingdom
209,489460,485.7900000000001,489460,12/01/09 10:46,16167.0,United Kingdom
224,489461,589.33,489461,12/01/09 10:49,17865.0,United Kingdom
250,489462,148.3,489462,12/01/09 10:49,17592.0,United Kingdom
263,489463,0.0,489463,12/01/09 10:52,,United Kingdom
264,489464,0.0,489464,12/01/09 10:52,,United Kingdom
265,489465,1197.8,489465,12/01/09 10:52,13767.0,United Kingdom
284,489467,0.0,489467,12/01/09 10:53,,United Kingdom
285,489476,-12.600000000000001,C489476,12/01/09 10:55,13293.0,United Kingdom
286,489488,251.1,489488,12/01/09 10:59,17238.0,United Kingdom
316,489503,-13.45,C489503,12/01/09 11:04,16011.0,United Kingdom
318,489504,-15.299999999999999,C489504,12/01/09 11:10,13916.0,United Kingdom
319,489505,255.49999999999997,489505,12/01/09 11:17,15712.0,United Kingdom
329,489514,823.02,489514,12/01/09 11:21,15311.0,United Kingdom
361,489517,282.46000000000004,489517,12/01/09 11:34,16329.0,United Kingdom
399,489518,-38.400000000000006,C489518,12/01/09 11:35,15461.0,United Kingdom
